id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1380555997747082021,Albany Central Hotel w/Breakfast Next to Downtown,466790114,1468113968197472369,⁨Premier Stay Co.⁩,,ELEVENTH WARD,42.6800233833328,-73.78522330726621,Private room,,1,16,2025-10-26,1.52,30,363,16,
1381163571420241600,Albany Elegant Home Next Downtown Free Breakfast,466790114,1468113968197472369,⁨Premier Stay Co.⁩,,ELEVENTH WARD,42.68231684583981,-73.7836715628194,Entire home/apt,,1,15,2025-10-31,1.40,30,356,15,
1383513241348424944,Cozy Home 5 STAR AREA W/Parking,654226760,1470644572508600300,Chris,,FOURTEENTH WARD,42.66191,-73.7974412,Entire home/apt,,1,42,2026-02-01,5.50,1,363,42,
1383910626115273822,"Cranberry room, large private queen near AMC",20536619,1462613529423158163,Emily,,TENTH WARD,42.66317303594558,-73.78912755444637,Private room,,28,1,2025-07-31,0.15,13,70,1,
1390171272060324410,New Large Bedroom! Has Parking!,55596850,1465910638818717668,Alain,,NINTH WARD,42.66002,-73.79333,Private room,,14,1,2025-05-15,0.11,3,290,1,
1393482542585537728,Albany Cozy Room Next to downtown W/breakfast,466790114,1468113968197472369,⁨Premier Stay Co.⁩,,FIFTH WARD,42.67652148547361,-73.78111383843994,Entire home/apt,,1,8,2026-02-07,0.78,30,364,8,
1393634713342137582,Modern Albany Home with breakfast Next to Downtown,466790114,1468113968197472369,⁨Premier Stay Co.⁩,,ELEVENTH WARD,42.67610273877896,-73.78233682651273,Entire home/apt,,1,14,2025-11-02,1.52,30,364,14,
1393634936904017469,"New Bedroom! Centrally located, Includes Laundry!",55596850,1465910638818717668,Alain,,NINTH WARD,42.659475284293904,-73.79368120012339,Private room,,10,5,2025-12-20,0.51,3,231,5,
1393638070589049592,Elegant Albany 2 Beds Room with free Breakfast,466790114,1468113968197472369,⁨Premier Stay Co.⁩,,FIFTH WARD,42.67651022767566,-73.78215501783329,Entire home/apt,,1,13,2025-11-25,1.35,30,365,13,
1395671676833912969,The Small Yellow Room with twin bed /tv,116935236,1462910582703398538,F S,,THIRTEENTH WARD,42.669917189344,-73.78632927186241,Private room,,2,2,2025-09-13,0.34,5,346,2,
1396921235971014566,New Bedroom Centrally Located! Parking & Laundry,55596850,1465910638818717668,Alain,,FOURTEENTH WARD,42.661116057130855,-73.79408139551636,Private room,,28,3,2025-08-30,0.37,3,165,3,
1402461183704514588,"4 bedroom house in Albany, 4 minutes from AMC",32379616,1465475491698528907,Fabiola,,TENTH WARD,42.6605291,-73.7831549,Entire home/apt,,28,2,2025-08-10,0.26,5,364,2,
1405327220192978468,Room near SUNY Albany and 4 minutes from AMC,32379616,1465475491698528907,Fabiola,,TENTH WARD,42.659903296506094,-73.78257397435888,Private room,,28,0,,,5,363,0,
1405768102601327206,Historic Studio and Great Eats,382970529,1463574448322349045,Thomas,,SIXTH WARD,42.655450233068514,-73.76273815121087,Entire home/apt,,2,12,2025-11-29,1.45,17,4,12,
1409646921435856252,Albany Getaway Near Brewery District,692671333,1470726612193802855,Paul,,FOURTH WARD,42.67225930444639,-73.7390519905538,Entire home/apt,,2,4,2025-12-20,0.71,1,86,4,
1417686058428307591,Charming Historic Apartment,270608641,1469429290124332461,Aleks,,SIXTH WARD,42.65166,-73.76622,Entire home/apt,,1,0,,,2,337,0,
1429997390383679972,Downtown ALB • Hot Tub • Game Room • Free Parking,71003491,1466878587921518723,Yasiel,,THIRD WARD,42.65665,-73.74868,Entire home/apt,,2,15,2026-02-08,2.14,1,181,15,
1430417055174000914,Café Capriccio Suite,418024477,1469899732923942393,Marlene,,SECOND WARD,42.64619243272902,-73.75658877629596,Entire home/apt,,1,11,2025-12-15,1.42,1,142,11,
1432823196473666155,"Charming, Spacious Apt Downtown Albany",531209536,1470386116918435368,Amar,,THIRD WARD,42.6579207870488,-73.75026566418697,Entire home/apt,,1,0,,,2,251,0,
1434108183586713709,Albany Cozy Suite Close to Downtown with Breakfast,466790114,1468113968197472369,⁨Premier Stay Co.⁩,,ELEVENTH WARD,42.682246872011966,-73.78338389658927,Entire home/apt,,1,16,2026-02-08,1.89,30,365,16,
1434112653259573474,Stylish Albany Room minutes to Downtown.,466790114,1468113968197472369,⁨Premier Stay Co.⁩,,ELEVENTH WARD,42.680525565301686,-73.7852461638938,Entire home/apt,,1,7,2025-11-21,0.96,30,365,7,
1435590570769303352,Apartment in beautiful Downtown Albany,167102397,1468618508441552844,Nathan,,SIXTH WARD,42.65422697397571,-73.76720390736077,Entire home/apt,,2,18,2026-02-13,2.28,1,232,18,
1435797229942642808,Global Entry Unit # 1 (2nd Floor Walk-up),130497392,1468307481012535510,Dale,,SIXTH WARD,42.65759,-73.7652,Entire home/apt,,7,0,,,2,365,0,
1439472202376740681,Timelessly Restored 2-Bed Fl 2 Apt @DowntownAlbany,44434571,1462696988014217001,Earl Vanze,,SECOND WARD,42.64439,-73.75296,Entire home/apt,,1,26,2026-01-17,3.25,11,360,26,
1441615290727481693,Room close to AMed and St peters,652223872,1470640333106308270,Umit,,TENTH WARD,42.66035,-73.78296,Private room,,3,2,2025-07-30,0.25,1,365,2,
1447202556849361134,/Red Den Apartment\3bed1bath,52123673,1465829687105391120,Joseph,,THIRTEENTH WARD,42.66951,-73.78736,Entire home/apt,,2,3,2025-11-28,0.43,2,363,3,
1448501719166920474,Comfy & Convenient 2-Bed Fl 1 Apt @DowntownAlbany,44434571,1462696988014217001,Earl Vanze,,SECOND WARD,42.64587,-73.75356,Entire home/apt,,1,9,2026-02-01,1.19,11,359,9,
1450136720901316807,A charming apartment.,675767467,1470691541967011596,Jeffrey,,SECOND WARD,42.64535,-73.75678,Entire home/apt,,1,48,2026-02-14,6.99,2,336,48,
1450156329560932974,Spacious convenient to Hospital and capital,675767467,1470691541967011596,Jeffrey,,SECOND WARD,42.645104811339436,-73.75712113379716,Entire home/apt,,1,39,2026-02-01,5.49,2,332,39,
1454413975547667690,Cozy Albany Home with Breakfast Next to Downtown,466790114,1468113968197472369,⁨Premier Stay Co.⁩,,FIFTH WARD,42.67725,-73.78034,Entire home/apt,,1,8,2026-01-16,1.19,30,362,8,
1454415655361201543,Albany Cozy Stay W/Breakfast Close to Downtown,466790114,1468113968197472369,⁨Premier Stay Co.⁩,,FIFTH WARD,42.67619,-73.78121,Entire home/apt,,1,2,2025-08-04,0.29,30,365,2,
1454417108090792705,Albany CozyRoom W/Breakfast Next to Downtown,466790114,1468113968197472369,⁨Premier Stay Co.⁩,,FIFTH WARD,42.67639,-73.78086,Entire home/apt,,1,9,2025-10-23,1.27,30,365,9,
1454418356838968327,Albany Cozy room W/Breakfast Close to Downtown,466790114,1468113968197472369,⁨Premier Stay Co.⁩,,FIFTH WARD,42.67612,-73.78092,Entire home/apt,,1,19,2025-11-21,2.51,30,362,19,
1455799924350084157,Charming 1 Bedroom House,37769478,1465565296852923022,Erion,,TENTH WARD,42.66355584811417,-73.7934588865277,Entire home/apt,,1,6,2025-10-28,0.83,15,351,6,
1459126168828019962,The Dove's Nest of Albany,363028988,1469729206266130870,Roland,,FOURTEENTH WARD,42.6677,-73.80023,Entire home/apt,,3,17,2026-02-07,2.36,1,331,17,
1459718314728545998,Historic Downtown Albany 2 Bdrm,272907816,1469440311505165885,Angela,,SECOND WARD,42.64604,-73.75419,Entire home/apt,,1,7,2025-11-13,1.00,3,100,7,
1462505515338851900,Cozy Luxury Brownstone Stay w/ Yard & Parking,181867269,1468755136294349565,Andres,,SECOND WARD,42.64403,-73.75853,Entire home/apt,,1,32,2026-02-08,4.71,2,346,32,
1464782804892875821,Cozy Historic 2BR • Private Deck • Garage Parking,181867269,1468755136294349565,Andres,,SECOND WARD,42.64491,-73.7594,Entire home/apt,,1,23,2026-02-14,3.43,2,356,23,
1465797274904716360,Downtown Living Space,418250661,1463653071014668004,Stephanie,,THIRD WARD,42.65704,-73.75167,Entire home/apt,,14,0,,,2,365,0,
1468113967156529966,Luxury Albany Room W/Breakfast Next to Downtown,466790114,1468113968197472369,⁨Premier Stay Co.⁩,,FIFTH WARD,42.67627,-73.78226,Entire home/apt,,1,1,2025-09-06,0.18,30,365,1,
1468116522806636814,Albany Room With Breakfast minutes to Downtown,466790114,1468113968197472369,⁨Premier Stay Co.⁩,,FIFTH WARD,42.67663,-73.78053,Entire home/apt,,1,7,2025-10-05,1.07,30,365,7,
1468119019136340688,Central Albany Room W/Breakfast Next to Downtown,466790114,1468113968197472369,⁨Premier Stay Co.⁩,,FIFTH WARD,42.67602,-73.78066,Entire home/apt,,1,2,2025-11-26,0.40,30,365,2,
1470493488040078187,The Madison- Work Friendly Apt with Parking,564967431,1470493488948741235,Stephanie,,SIXTH WARD,42.65116120175577,-73.76489493995905,Entire home/apt,,2,0,,,3,274,0,
1472122509160785254,Bright & Airy 1 BDRM Private Apt,47625981,1462707263288165799,Linda,,FOURTH WARD,42.65791,-73.74669,Entire home/apt,,1,8,2026-01-18,1.18,16,360,8,
1473485941065182946,Slate private queen room near AMC,20536619,1462613529423158163,Emily,,TENTH WARD,42.66295,-73.78792,Private room,,28,2,2025-09-16,0.30,13,158,2,
1473500943932986440,"Silver private queen room, central location",20536619,1462613529423158163,Emily,,TENTH WARD,42.66241617967561,-73.78837960927946,Private room,,5,1,2025-11-02,0.28,13,29,1,
1473509751949424528,"Ivory private queen, walk to AMC",20536619,1462613529423158163,Emily,,TENTH WARD,42.66325814454161,-73.78982669559142,Private room,,28,1,2025-12-31,0.64,13,88,1,
1476084665532782592,Sienna private queen near AMC,20536619,1462613529423158163,Emily,,TENTH WARD,42.66232293480178,-73.78771391087372,Private room,,28,1,2025-08-11,0.16,13,54,1,
1476780998285613744,Downtown Luxe- Steps to MVP Arena & NYS Capital,710552538,1476780999248566039,Jonathan,,THIRD WARD,42.6498098,-73.75325649999999,Entire home/apt,,2,10,2026-01-31,1.66,1,233,10,
1477111453930200793,Ontario's Luxe House,10279606,1462836303318100245,Nori,,NINTH WARD,42.65547,-73.78949,Entire home/apt,,1,37,2026-02-01,6.45,3,324,37,
1477115953609986339,Global Entry Unit # 2 (3rd Floor Walk-up),130497392,1468307481012535510,Dale,,SIXTH WARD,42.65787363814481,-73.76544767506958,Entire home/apt,,3,0,,,2,365,0,
1477468172276783780,"Spacious 4br home near hospitals, schools",20536619,1462613529423158163,Emily,,TENTH WARD,42.66344,-73.78752,Entire home/apt,,21,0,,,13,113,0,
1479696659954496070,Central Albany Retreat | Walk Everywhere + Parking,19648678,1463087024016718788,Ming,,SIXTH WARD,42.6523779,-73.7671603,Entire home/apt,,1,13,2026-02-03,2.34,7,357,13,
1481862654824444067,Albany Elegant room with Breakfast Next Downtown,466790114,1468113968197472369,⁨Premier Stay Co.⁩,,ELEVENTH WARD,42.67808,-73.78208,Entire home/apt,,1,3,2025-11-21,0.67,30,365,3,
1481865863422349835,Cozy Albany Room Next to Downtown With Breakfast,466790114,1468113968197472369,⁨Premier Stay Co.⁩,,FIFTH WARD,42.675801777825,-73.78036874911213,Entire home/apt,,1,2,2025-10-19,0.42,30,365,2,
1481869272871304149,Albany Cozy Home with Breakfast Next to Downtown,466790114,1468113968197472369,⁨Premier Stay Co.⁩,,FIFTH WARD,42.67736,-73.78108,Entire home/apt,,1,9,2025-11-04,1.48,30,361,9,
1482199242377376639,Albany Cozy Home W/Breakfast Minutes to Downtown,466790114,1468113968197472369,⁨Premier Stay Co.⁩,,ELEVENTH WARD,42.680940501431586,-73.7846106000441,Entire home/apt,,1,7,2025-12-30,1.15,30,352,7,
1485723149961736573,Lovely Albany room with Breakfast Next to Downtown,466790114,1468113968197472369,⁨Premier Stay Co.⁩,,ELEVENTH WARD,42.68205,-73.7846,Entire home/apt,,1,0,,,30,365,0,
1485726503410193437,Albany Cozy room W/Breakfast minutes to Downtown,466790114,1468113968197472369,⁨Premier Stay Co.⁩,,ELEVENTH WARD,42.68211,-73.78306,Entire home/apt,,1,3,2025-11-26,0.52,30,365,3,
1486971933919777260,Budget Friendly 2 BDRM with Modern Amenities WILL1,65282034,1466807311599549052,Michael,,SIXTH WARD,42.65406,-73.76964,Entire home/apt,,2,16,2026-02-05,2.65,2,360,16,
1498161268794053659,Apartment in Albany,111760206,1498161269504657459,Rachel,,SIXTH WARD,42.65334,-73.76605,Entire home/apt,,1,32,2026-02-05,6.40,1,99,32,
1498389804589049324,Downtown 3BR duplex full kitchen parking off i-787,478816393,1498389805557540852,Lee,,THIRD WARD,42.6567,-73.75412,Entire home/apt,,1,15,2026-02-11,7.38,1,35,15,
1498884258657376096,Cozy Room - Best City Location,534733076,1470399789180792870,Danyal,,SIXTH WARD,42.653261512538336,-73.76980902840452,Private room,,1,6,2026-02-07,1.08,1,350,6,
1498913624552583326,"Elegant 1BR in Historic Center Square, Albany",188679144,1468977843653292721,Elizabeth,,SIXTH WARD,42.65479,-73.76274,Entire home/apt,,7,0,,,11,352,0,
1503537470526077849,The Old Blue Space,426223840,1469932236725561170,Antonio,,ELEVENTH WARD,42.66452327071085,-73.77739963718653,Entire home/apt,,1,10,2026-01-24,1.94,2,232,10,
1510280924413149938,Cozy Teal Retreat | 1 Mile Albany Medical & VA Med,79099670,1510280925088337910,Nathan,,SEVENTH WARD,42.64166,-73.78424,Private room,,1,2,2025-09-20,0.40,1,319,2,
1511129185939661958,The Old Yellow Space,562084689,1470509150092723187,Antonio,,THIRTEENTH WARD,42.66490908542253,-73.77879829543551,Entire home/apt,,1,4,2025-12-24,0.92,1,323,4,
1511453437878117120,Large Studio Downtown with Pool Table,390089294,1468722721823294155,Traverse,,SIXTH WARD,42.65294,-73.76511,Entire home/apt,,1,0,,,6,365,0,
1511463115578002586,Large 1 bedroom downtown!,390089294,1468722721823294155,Traverse,,FOURTH WARD,42.67410612815129,-73.75067767016992,Entire home/apt,,2,0,,,6,365,0,
1511475748634247539,Spacious Downtown 1BR Cozy Apartment!,390089294,1468722721823294155,Traverse,,SIXTH WARD,42.65562,-73.76445,Entire home/apt,,2,0,,,6,365,0,
1511560319275262460,Spacious Studio | Downtown,390089294,1468722721823294155,Traverse,,SIXTH WARD,42.65426,-73.76308,Entire home/apt,,2,0,,,6,365,0,
1511573692636646423,Very Comfortable Studio Downtown,390089294,1468722721823294155,Traverse,,SIXTH WARD,42.65228,-73.76491,Entire home/apt,,2,0,,,6,360,0,
1511582525879389671,Downtown Cozy Studio - Comfy & Clean!,390089294,1468722721823294155,Traverse,,SIXTH WARD,42.65303,-73.76101,Entire home/apt,,2,0,,,6,361,0,
1513028059149782480,Bright and Roomy 3BR Home,37769478,1465565296852923022,Erion,,SIXTH WARD,42.6525801,-73.7723427,Entire home/apt,,1,14,2025-12-17,2.82,15,329,14,
1518943235257584991,Stylish 3BR Stay Near Albany Medical Center,188679144,1468977843653292721,Elizabeth,,NINTH WARD,42.65527,-73.78585,Entire home/apt,,1,1,2025-12-19,0.51,11,359,1,
1519726896462850649,Spacious 4BR Home Near Hospitals • FREE Parking,488778056,1519726897123584458,Kotun,,TENTH WARD,42.65841,-73.78321,Entire home/apt,,1,6,2026-02-04,5.29,1,291,6,
1521064839093130562,Albany Modern Room Next to Downtown with Breakfast,466790114,1468113968197472369,⁨Premier Stay Co.⁩,,ELEVENTH WARD,42.6817,-73.78439,Entire home/apt,,1,3,2025-12-23,0.71,30,365,3,
1522036487464000982,Suite One - 1 Bedroom Apartment,37769478,1465565296852923022,Erion,,SIXTH WARD,42.65393,-73.7693,Entire home/apt,,1,3,2025-12-24,0.92,15,365,3,
1523640223905336810,Historic Brick City Center Glow,706406610,1523640224573903108,JNM Living Spaces,,SIXTH WARD,42.65323354077172,-73.76717951148748,Entire home/apt,,1,2,2025-11-21,0.53,2,351,2,
1528281264652621033,ParkSide Retreat - 2 BDR with Off Street Parking,37769478,1465565296852923022,Erion,,SIXTH WARD,42.6542,-73.77128,Entire home/apt,,1,12,2026-02-01,2.81,15,359,12,
1528330624684718752,Charming 2 BR home in Albany,15064470,1462953343897056064,Rebecca,,EIGHTH WARD,42.642732215973844,-73.79208773618511,Entire home/apt,,1,26,2026-02-08,6.50,1,271,26,
